MATERIA,DATA,VOTO,TIPO,MESE,Q,A
Economia aziendale,28 Sep 22,6.5,Scritto,Sep,1,3
Storia,11 Oct 22,7,Orale,Oct,1,3
Italiano,18 Oct 22,6,Scritto,Oct,1,3
Tedesco,25 Oct 22,6,Scritto,Oct,1,3
Matematica,3 Nov 22,3,Scritto,Nov,1,3
Informatica,4 Nov 22,9.15,Scritto,Nov,1,3
Economia aziendale,7 Nov 22,4,Orale,Nov,1,3
Economia politica,11 Nov 22,7,Orale,Nov,1,3
Italiano,15 Nov 22,7,Orale,Nov,1,3
Matematica,17 Nov 22,4,Orale,Nov,1,3
Diritto,19 Nov 22,6,Orale,Nov,1,3
Tedesco,22 Nov 22,7,Orale,Nov,1,3
Inglese,23 Nov 22,7,Scritto,Nov,1,3
Economia aziendale,5 Dec 22,7.5,Scritto,Dec,1,3
Inglese,6 Dec 22,6.5,Orale,Dec,1,3
Italiano,13 Dec 22,5.5,Scritto,Dec,1,3
Educazione civica,14 Dec 22,7.5,Orale,Dec,1,3
Educazione fisica,19 Dec 22,7,Orale,Dec,1,3
Tedesco,20 Dec 22,4,Scritto,Dec,1,3
Economia politica,21 Dec 22,6.5,Orale,Dec,1,3
Matematica,22 Dec 22,7,Scritto,Dec,1,3
Informatica,10 Jan 23,7.85,Scritto,Jan,1,3
Diritto,12 Jan 23,6,Orale,Jan,1,3
Educazione civica,17 Jan 23,8,Orale,Jan,1,3
Storia,18 Jan 23,7,Orale,Jan,1,3
Educazione civica,23 Jan 23,7.5,Orale,Jan,1,3
Matematica,26 Jan 23,6,Orale,Jan,1,3
Educazione fisica,30 Jan 23,7,Orale,Jan,1,3
